scatter energy,scatter locations,absorption energies,absorption locations
0.394584,"[-13.4, 0.0, 80.6]",0.303958,"[0.0, 13.4, 80.6]"
0.331596,"[0.0, 13.4, 80.6]",0.343596,"[13.4, 0.0, 80.6]"
0.357249,"[0.0, 13.4, 80.6]",0.284639,"[-13.4, 0.0, 80.6]"
0.402216,"[3.4, -5.0, 40.8]",0.122398,"[10.6, 2.7, 39.2]"
0.366671,"[13.4, 0.0, 80.6]",0.337953,"[0.0, 13.4, 80.6]"
0.37538,"[0.0, -13.4, 80.6]",0.0820831,"[-13.4, 0.0, 80.6]"
0.400159,"[13.4, 0.0, 80.6]",0.189028,"[0.0, -13.4, 80.6]"
0.358418,"[13.4, 0.0, 80.6]",0.323406,"[0.0, -13.4, 80.6]"
0.280497,"[10.6, 2.7, 39.2]",0.0541172,"[-13.4, 0.0, 80.6]"
0.41348,"[0.0, 13.4, 80.6]",0.189896,"[13.4, 0.0, 80.6]"
0.423481,"[-13.4, 0.0, 80.6]",0.198935,"[0.0, 13.4, 80.6]"
0.410705,"[-13.4, 0.0, 80.6]",0.304171,"[0.0, -13.4, 80.6]"
0.329241,"[0.0, 13.4, 80.6]",0.228344,"[13.4, 0.0, 80.6]"
0.406064,"[13.4, 0.0, 80.6]",0.30397,"[0.0, 13.4, 80.6]"
0.104283,"[3.4, -5.0, 40.8]",0.308864,"[0.0, -13.4, 80.6]"
0.346787,"[0.0, 13.4, 80.6]",0.167144,"[-13.4, 0.0, 80.6]"
0.405238,"[0.0, 13.4, 80.6]",0.270248,"[-13.4, 0.0, 80.6]"
0.390043,"[-13.4, 0.0, 80.6]",0.293235,"[13.4, 0.0, 80.6]"
0.364687,"[13.4, 0.0, 80.6]",0.246565,"[0.0, -13.4, 80.6]"
0.395176,"[0.0, 13.4, 80.6]",0.242783,"[0.0, -13.4, 80.6]"
0.33257,"[0.0, -13.4, 80.6]",0.307629,"[-13.4, 0.0, 80.6]"
0.472858,"[0.0, 13.4, 80.6]",0.176949,"[3.4, -5.0, 40.8]"
0.208883,"[3.4, -5.0, 40.8]",0.437878,"[-13.4, 0.0, 80.6]"
0.352945,"[0.0, 13.4, 80.6]",0.366692,"[13.4, 0.0, 80.6]"
0.439561,"[13.4, 0.0, 80.6]",0.267693,"[0.0, -13.4, 80.6]"
0.367196,"[13.4, 0.0, 80.6]",0.228054,"[0.0, -13.4, 80.6]"
0.23863,"[10.6, 2.7, 39.2]",0.434828,"[0.0, -13.4, 80.6]"
0.369149,"[-13.4, 0.0, 80.6]",0.313629,"[0.0, 13.4, 80.6]"
0.350663,"[-13.4, 0.0, 80.6]",0.336673,"[0.0, -13.4, 80.6]"
0.335648,"[0.0, 13.4, 80.6]",0.287953,"[13.4, 0.0, 80.6]"
0.351019,"[13.4, 0.0, 80.6]",0.28415,"[0.0, -13.4, 80.6]"
0.394607,"[0.0, -13.4, 80.6]",0.230135,"[13.4, 0.0, 80.6]"
0.0601363,"[3.4, -5.0, 40.8]",0.358893,"[0.0, 13.4, 80.6]"
0.433996,"[13.4, 0.0, 80.6]",0.269938,"[0.0, 13.4, 80.6]"
0.0264971,"[-2.3, -2.2, 41.3]",0.383673,"[13.4, 0.0, 80.6]"
0.368172,"[0.0, -13.4, 80.6]",0.28024,"[0.0, 13.4, 80.6]"
0.36031,"[0.0, 13.4, 80.6]",0.369423,"[13.4, 0.0, 80.6]"
0.411448,"[0.0, -13.4, 80.6]",0.230174,"[13.4, 0.0, 80.6]"
0.430905,"[0.0, -13.4, 80.6]",0.256524,"[-13.4, 0.0, 80.6]"
0.418889,"[0.0, -13.4, 80.6]",0.172324,"[13.4, 0.0, 80.6]"
0.353498,"[0.0, -13.4, 80.6]",0.029656,"[13.4, 0.0, 80.6]"
0.417114,"[0.0, -13.4, 80.6]",0.30487,"[13.4, 0.0, 80.6]"
0.357406,"[0.0, 13.4, 80.6]",0.316649,"[13.4, 0.0, 80.6]"
